observation_id,session_id,dimension,score
1,1,settles_and_recovers,4
2,1,stays_with_task,3
3,1,connects_with_others,4
4,2,settles_and_recovers,3
5,2,stays_with_task,4
6,2,connects_with_others,4
7,3,settles_and_recovers,2
8,3,stays_with_task,4
9,3,connects_with_others,5
10,4,settles_and_recovers,2
11,4,stays_with_task,4
12,4,connects_with_others,5
13,5,settles_and_recovers,3
14,5,stays_with_task,4
15,5,connects_with_others,3
16,6,settles_and_recovers,4
17,6,stays_with_task,4
18,6,connects_with_others,3
19,7,settles_and_recovers,4
20,7,stays_with_task,3
21,7,connects_with_others,4
22,8,settles_and_recovers,4
23,8,stays_with_task,4
24,8,connects_with_others,3
25,9,settles_and_recovers,4
26,9,stays_with_task,3
27,9,connects_with_others,4
28,10,settles_and_recovers,4
29,10,stays_with_task,3
30,10,connects_with_others,5
31,11,settles_and_recovers,4
32,11,stays_with_task,4
33,11,connects_with_others,4
34,12,settles_and_recovers,4
35,12,stays_with_task,4
36,12,connects_with_others,5
37,13,settles_and_recovers,3
38,13,stays_with_task,4
39,13,connects_with_others,3
40,14,settles_and_recovers,3
41,14,stays_with_task,5
42,14,connects_with_others,4
43,15,settles_and_recovers,3
44,15,stays_with_task,4
45,15,connects_with_others,4
46,16,settles_and_recovers,3
47,16,stays_with_task,5
48,16,connects_with_others,4
49,17,settles_and_recovers,4
50,17,stays_with_task,3
51,17,connects_with_others,5
52,18,settles_and_recovers,4
53,18,stays_with_task,4
54,18,connects_with_others,4
55,19,settles_and_recovers,3
56,19,stays_with_task,3
57,19,connects_with_others,5
58,20,settles_and_recovers,3
59,20,stays_with_task,4
60,20,connects_with_others,4
61,21,settles_and_recovers,3
62,21,stays_with_task,5
63,21,connects_with_others,4
64,22,settles_and_recovers,4
65,22,stays_with_task,4
66,22,connects_with_others,3
67,23,settles_and_recovers,3
68,23,stays_with_task,5
69,23,connects_with_others,4
70,24,settles_and_recovers,4
71,24,stays_with_task,5
72,24,connects_with_others,4
